experiment,group,recall_at_10_all_valid_users,recall_at_10_target_overlap_users,time_sec,notes
LightGCN + LightGCN_popular_negatives alpha=0.075,blend_LightGCN_popular_negatives,0.011690368406786318,0.011472114137483789,5.095389366149902,rrf score blend with alpha=0.075
category_pop_365d,standalone_signal,0.008028977805097207,0.01144710024087456,0.9985599517822266,Metadata category-aware recent popularity.
LightGCN + itemknn_cosine alpha=0.15,blend_itemknn_cosine,0.011803914788989414,0.011407263294422827,3.9863369464874268,rrf score blend with alpha=0.15
LightGCN + itemknn_cosine alpha=0.3,blend_itemknn_cosine,0.011435796137288675,0.011167315175097278,4.04269552230835,rrf score blend with alpha=0.3
LightGCN + LightGCN_popular_negatives alpha=0.1,blend_LightGCN_popular_negatives,0.011769925575895726,0.0109662775616083,5.3212666511535645,rrf score blend with alpha=0.1
LightGCN + LightGCN_popular_negatives alpha=0.3,blend_LightGCN_popular_negatives,0.011775314760389385,0.010948984003458711,5.250219106674194,rrf score blend with alpha=0.3
LightGCN_time_graph_hl365,lightgcn_variant,0.011956679493992928,0.008439256376999568,1.7968382835388184,LightGCN with recency-weighted graph propagation.
LightGCN_popular_negatives,lightgcn_variant,0.009618520439415962,0.006802853437094683,1.4541294574737549,"Same graph, but negatives sampled by item popularity^0.75."
sequence_transition,standalone_signal,0.007710695770397263,0.006070038910505836,0.9285941123962402,Directional next-item transition from timestamp-ordered histories.
itemknn_cosine,standalone_signal,0.006709641411133948,0.004974986103390772,0.9957036972045898,Local item-item co-visitation signal.
content_tfidf,standalone_signal,0.005584795883303346,0.0026403557531962203,49.674845457077026,TF-IDF using item_meta text fields only.
SASRec,standalone_big_model,0.00218854248704995,0.002367982212340189,1.129669427871704,Transformer sequential recommender trained from scratch.
